Date Value  
1996M04 104.540000000000  
1996M05 103.580000000000  
1996M06 100.850000000000  
1996M07 100.010000000000  
1996M08 100.690000000000  
1996M09 100.030000000000  
1996M10 100.310000000000  
1996M11 104.650000000000  
1996M12 103.630000000000  
1997M01 108.650000000000  
1997M02 117.940000000000  
1997M03 125.480000000000  
1997M04 124.040000000000  
1997M05 131.050000000000  
1997M06 135.420000000000  
1997M07 151.800000000000  
1997M08 165.350000000000  
1997M09 164.090000000000  
1997M10 128.010000000000  
1997M11 117.300000000000  
1997M12 110.220000000000  
1998M01 109.720000000000  
1998M02 104.400000000000  
1998M03 104.760000000000  
1998M04 109.700000000000  
1998M05 106.110000000000  
1998M06 100.980000000000  
1998M07 104.030000000000  
1998M08 102.980000000000  
1998M09 100.000000000000  
1998M10 94.050000000000  
1998M11 96.710000000000  
1998M12 95.920000000000  
1999M01 93.280000000000  
1999M02 101.730000000000  
1999M03 103.000000000000  
1999M04 101.900000000000  
1999M05 104.030000000000  
1999M06 100.050000000000  
1999M07 107.210000000000  
1999M08 113.060000000000  
1999M09 119.380000000000  
1999M10 114.870000000000  
1999M11 114.720000000000  
1999M12 118.380000000000  
2000M01 117.880000000000  
2000M02 109.490000000000  
2000M03 111.640000000000  
2000M04 112.760000000000  
2000M05 115.690000000000  
2000M06 111.790000000000  
2000M07 113.620000000000  
2000M08 116.980000000000  
2000M09 122.440000000000  
2000M10 109.590000000000  
2000M11 105.900000000000  
2000M12 105.980000000000  
2001M01 103.310000000000  
2001M02 102.090000000000  
2001M03 100.470000000000  
2001M04 96.940000000000  
2001M05 93.800000000000  
2001M06 89.490000000000  
2001M07 85.240000000000  
2001M08 82.810000000000  
2001M09 79.860000000000  
2001M10 76.150000000000  
2001M11 77.290000000000  
2001M12 75.470000000000  
2002M01 79.320000000000  
2002M02 77.130000000000  
2002M03 81.930000000000  
2002M04 80.820000000000  
2002M05 76.950000000000  
2002M06 76.710000000000  
2002M07 79.490000000000  
2002M08 74.760000000000  
2002M09 75.620000000000  
2002M10 75.470000000000  
2002M11 76.530000000000  
2002M12 79.770000000000  
2003M01 78.140900000000  
2003M02 78.515000000000  
2003M03 79.095200000000  
2003M04 75.465000000000  
2003M05 77.565000000000  
2003M06 79.069000000000  
2003M07 82.754300000000  
2003M08 81.787500000000  
2003M09 81.818200000000  
2003M10 89.795700000000  
2003M11 91.452500000000  
2003M12 97.776200000000  
2004M01 101.700000000000  
2004M02 108.767500000000  
2004M03 110.578300000000  
2004M04 103.272500000000  
2004M05 102.828900000000  
2004M06 102.145500000000  
2004M07 98.831800000000  
2004M08 97.581000000000  
2004M09 97.518200000000  
2004M10 106.495200000000  
2004M11 109.563600000000  
2004M12 118.021400000000  
2005M01 124.637500000000  
2005M02 132.617500000000  
2005M03 137.215000000000  
2005M04 130.014300000000  
2005M05 124.362500000000  
2005M06 127.572700000000  
2005M07 119.442900000000  
2005M08 129.838600000000  
2005M09 139.752300000000  
2005M10 148.838100000000  
2005M11 161.093200000000  
2005M12 182.182500000000  
2006M01 209.031000000000  
2006M02 221.937500000000  
2006M03 241.691300000000  
2006M04 308.477800000000  
2006M05 356.569000000000  
2006M06 322.568200000000  
2006M07 333.985700000000  
2006M08 334.729500000000  
2006M09 340.302400000000  
2006M10 382.295500000000  
2006M11 438.222700000000  
2006M12 440.539500000000  
2007M01 378.668200000000  
2007M02 330.950000000000  
2007M03 327.129500000000  
2007M04 355.747400000000  
2007M05 383.126000000000  
2007M06 360.285000000000  
2007M07 354.558000000000  
2007M08 325.252300000000  
2007M09 288.140000000000  
2007M10 297.532600000000  
2007M11 254.131800000000  
2007M12 235.308300000000  
2008M01 234.011400000000  
2008M02 243.814300000000  
2008M03 251.147400000000  
2008M04 226.379500000000  
